City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Otane,NZ,-39.88,176.63,55.99,84,100,2.35,overcast clouds,0.0,0
1,Qaanaaq,GL,77.48,-69.36,34.07,84,100,2.82,overcast clouds,0.0,0
2,Lebu,CL,-37.62,-73.65,52.66,86,100,16.49,light rain,0.21,0
3,Victoria,HK,22.29,114.16,93.0,66,26,15.01,scattered clouds,0.0,0
4,Cherskiy,RU,68.75,161.3,83.64,23,3,5.26,clear sky,0.0,0
5,Mataura,NZ,-46.19,168.86,45.57,84,78,1.83,broken clouds,0.0,0
6,Ponta Do Sol,PT,32.67,-17.1,68.0,72,75,6.93,broken clouds,0.0,0
7,Issenye,TZ,-2.0,34.33,65.08,84,71,2.08,light rain,0.29,0
8,Torbay,CA,47.67,-52.73,44.01,100,90,6.93,fog,0.0,0
9,Hilo,US,19.73,-155.09,80.6,61,90,5.82,overcast clouds,0.0,0
10,Wahiawa,US,21.5,-158.02,82.4,57,90,13.87,overcast clouds,0.0,0
11,Atuona,PF,-9.8,-139.03,80.29,74,88,14.61,overcast clouds,0.0,0
12,Beyneu,KZ,45.32,55.2,81.41,29,5,21.5,clear sky,0.0,0
13,Los Llanos De Aridane,ES,28.66,-17.92,71.6,64,20,9.17,few clouds,0.0,0
14,Mandalgovi,MN,45.76,106.27,77.54,36,90,10.49,overcast clouds,0.0,0
15,Mpanda,TZ,-6.37,31.04,65.97,66,90,3.65,overcast clouds,0.0,0
16,Cape Town,ZA,-33.93,18.42,60.01,93,75,4.7,broken clouds,0.0,0
17,Butaritari,KI,3.07,172.79,80.37,83,100,17.63,overcast clouds,0.0,0
18,Bluff,NZ,-46.6,168.33,46.94,73,87,10.13,overcast clouds,0.0,0
19,Port Elizabeth,ZA,-33.92,25.57,59.0,41,21,4.7,few clouds,0.0,0
20,Carnarvon,AU,-24.87,113.63,69.8,56,0,5.82,clear sky,0.0,0
21,Rikitea,PF,-23.12,-134.97,75.29,82,100,19.51,overcast clouds,0.0,0
22,Jamestown,US,42.1,-79.24,64.0,100,1,4.7,mist,0.0,0
23,Tasiilaq,GL,65.61,-37.64,37.2,82,100,3.56,overcast clouds,0.0,0
24,Saskylakh,RU,71.92,114.08,82.44,26,60,8.79,broken clouds,0.0,0
25,Umm Lajj,SA,25.02,37.27,80.62,57,3,4.0,clear sky,0.0,0
26,Tuatapere,NZ,-46.13,167.68,48.58,82,45,3.15,scattered clouds,0.0,0
27,Sao Raimundo Nonato,BR,-9.02,-42.7,72.0,62,0,4.54,clear sky,0.0,0
28,Vaini,TO,-21.2,-175.2,75.2,73,75,8.05,broken clouds,0.0,0
29,Broome,US,42.25,-75.83,66.99,82,1,6.93,clear sky,0.0,0
30,At-Bashi,KG,41.17,75.81,63.21,30,0,7.05,clear sky,0.0,0
31,Sao Sebastiao,BR,-23.76,-45.41,70.07,67,0,4.65,clear sky,0.0,0
32,Yellowknife,CA,62.46,-114.35,79.0,27,20,12.75,few clouds,0.0,0
33,Barrow,US,71.29,-156.79,42.8,70,20,9.17,few clouds,0.0,0
34,Codrington,AU,-38.27,141.97,57.94,66,18,14.05,few clouds,0.0,0
35,Gaogou,CN,34.02,119.19,84.31,37,85,7.31,overcast clouds,0.0,0
36,Podor,MR,16.65,-14.96,82.4,65,0,2.24,clear sky,0.0,0
37,Mana,GF,5.66,-53.78,77.94,88,7,6.98,clear sky,0.0,0
38,Dunda,TZ,-8.12,34.25,56.71,79,31,2.26,scattered clouds,0.0,0
39,Ushuaia,AR,-54.8,-68.3,37.4,86,75,5.82,broken clouds,0.0,0
40,Glace Bay,CA,46.2,-59.96,63.0,93,20,3.98,few clouds,0.0,0
41,Punta Arenas,CL,-53.15,-70.92,33.8,83,54,10.29,broken clouds,0.0,0
42,Avarua,CK,-21.21,-159.78,73.4,60,67,8.05,broken clouds,0.0,0
43,Castro Valley,US,37.69,-122.09,71.01,72,1,14.99,clear sky,0.0,0
44,Hobart,AU,-42.88,147.33,55.4,87,40,5.82,haze,0.0,0
45,Hofn,IS,64.25,-15.21,51.06,83,100,16.4,overcast clouds,0.0,0
46,Andrews,US,32.32,-102.55,77.0,53,1,8.05,clear sky,0.0,0
47,Kapaa,US,22.08,-159.32,80.6,69,40,18.34,scattered clouds,0.0,0
48,Bambous Virieux,MU,-20.34,57.76,70.0,88,75,12.75,shower rain,0.0,0
49,Cap Malheureux,MU,-19.98,57.61,70.0,83,83,8.01,broken clouds,0.0,0
50,Katherine,AU,-14.47,132.27,89.6,31,75,12.75,broken clouds,0.0,0
51,Barbastro,ES,42.04,0.13,60.8,93,0,3.36,clear sky,0.0,0
52,Aklavik,CA,68.22,-135.01,48.2,93,90,6.93,overcast clouds,0.0,0
53,Elektrenai,LT,54.77,24.63,68.0,77,10,4.7,clear sky,0.0,0
54,Ratnagiri,IN,16.98,73.3,84.34,76,99,7.18,light rain,0.12,0
55,Gao,ML,16.64,1.64,89.24,30,52,10.16,broken clouds,0.0,0
56,Ambon,ID,-3.7,128.18,82.0,12,89,18.34,light rain,0.16,0
57,Cururupu,BR,-1.83,-44.87,73.51,97,2,2.64,light rain,0.61,0
58,Kerewan,GM,13.49,-16.09,80.38,81,60,7.74,broken clouds,0.0,0
59,Mbini,GQ,1.57,9.61,76.19,88,97,7.27,overcast clouds,0.0,0
60,Bundaberg,AU,-24.85,152.35,75.0,64,75,12.75,broken clouds,0.0,0
61,Dabou,CI,5.33,-4.38,77.0,94,20,2.24,few clouds,0.0,0
62,Dikson,RU,73.51,80.55,37.26,80,0,5.53,clear sky,0.0,0
63,Saldanha,ZA,-33.01,17.94,55.4,87,94,3.36,overcast clouds,0.0,0
64,Adrar,MR,20.5,-10.07,92.08,19,21,12.15,few clouds,0.0,0
65,Ostersund,SE,63.18,14.64,55.4,87,4,12.75,clear sky,0.0,0
66,Punta De Bombon,PE,-17.17,-71.79,62.62,77,100,5.17,overcast clouds,0.0,0
67,Hope,US,33.67,-93.59,80.01,68,46,5.88,scattered clouds,0.0,0
68,Sivas,TR,39.79,37.0,51.8,93,75,8.05,broken clouds,0.0,0
69,Upernavik,GL,72.79,-56.15,39.63,71,17,5.79,few clouds,0.0,0
70,Key West,US,24.56,-81.78,86.0,83,1,8.05,clear sky,0.0,0
71,Linares,CL,-35.85,-71.6,50.94,92,100,3.42,overcast clouds,0.0,0
72,Broken Hill,AU,-31.95,141.43,60.8,38,0,14.99,clear sky,0.0,0
73,Porto Novo,BJ,6.5,2.6,75.92,90,91,6.15,overcast clouds,0.0,0
74,Busselton,AU,-33.65,115.33,60.01,47,0,10.47,clear sky,0.0,0
75,Tiksi,RU,71.69,128.87,68.25,33,0,4.92,clear sky,0.0,0
76,Kaitangata,NZ,-46.28,169.85,46.0,84,69,4.0,broken clouds,0.0,0
77,Robertson,US,36.52,-86.87,72.0,94,75,3.44,broken clouds,0.0,0
78,Arraial Do Cabo,BR,-22.97,-42.03,71.37,80,0,8.57,clear sky,0.0,0
79,Mehamn,NO,71.04,27.85,43.92,80,94,15.9,overcast clouds,0.0,0
80,Teguise,ES,29.06,-13.56,69.8,73,40,13.87,scattered clouds,0.0,0
81,Xichang,CN,27.9,102.26,75.74,69,99,1.1,overcast clouds,0.0,0
82,Polson,US,47.69,-114.16,60.01,77,21,4.16,light rain,0.51,0
83,Bredasdorp,ZA,-34.53,20.04,57.2,87,29,5.08,scattered clouds,0.0,0
84,Ust-Omchug,RU,61.15,149.63,67.66,43,88,9.42,light rain,0.46,0
85,Beboto,TD,8.27,16.94,71.8,91,100,5.19,overcast clouds,0.0,0
86,Hermanus,ZA,-34.42,19.23,59.0,95,42,1.01,scattered clouds,0.0,0
87,New Norfolk,AU,-42.78,147.06,55.0,83,92,1.86,light rain,0.17,0
88,Bobo Dioulasso,BF,11.18,-4.3,71.6,100,78,2.24,broken clouds,0.0,0
89,San Juan,AR,-31.54,-68.54,52.25,45,0,4.0,clear sky,0.0,0
90,Castro,BR,-24.79,-50.01,57.2,94,11,5.17,few clouds,0.0,0
91,Najran,SA,17.49,44.13,80.6,26,95,2.24,overcast clouds,0.0,0
92,Albany,US,42.6,-73.97,75.0,89,70,2.44,broken clouds,0.0,0
93,Hashtgerd,IR,35.96,50.69,69.8,49,40,11.41,scattered clouds,0.0,0
94,Tautira,PF,-17.73,-149.15,82.4,74,40,5.82,shower rain,0.0,0
95,North Bend,US,43.41,-124.22,64.0,93,40,6.93,scattered clouds,0.0,0
96,Bolshaya Rechka,RU,51.95,104.74,68.0,60,40,11.18,scattered clouds,0.0,0
97,Lompoc,US,34.64,-120.46,60.8,82,28,9.17,scattered clouds,0.0,0
98,Narsaq,GL,60.92,-46.05,41.0,80,93,2.24,overcast clouds,0.0,0
99,Grindavik,IS,63.84,-22.43,48.2,100,90,2.24,light rain,0.0,0
100,Thompson,CA,55.74,-97.86,46.4,93,90,10.29,light intensity drizzle,0.0,0
101,Yumen,CN,40.28,97.2,87.04,13,100,6.02,overcast clouds,0.0,0
102,Nikolskoye,RU,59.7,30.79,60.8,77,40,11.18,scattered clouds,0.0,0
103,Walvis Bay,NA,-22.96,14.51,68.0,24,0,17.22,clear sky,0.0,0
104,Ilulissat,GL,69.22,-51.1,39.2,80,0,4.7,clear sky,0.0,0
105,Yerbogachen,RU,61.28,108.01,74.1,40,9,3.83,clear sky,0.0,0
106,Serenje,ZM,-13.23,30.24,47.21,96,100,6.6,overcast clouds,0.0,0
107,Soyo,AO,-6.13,12.37,72.48,90,51,6.02,broken clouds,0.0,0
108,Vestmanna,FO,62.16,-7.17,50.0,100,99,18.34,overcast clouds,0.0,0
109,Atar,MR,20.52,-13.05,91.94,22,43,11.99,scattered clouds,0.0,0
110,Stephenville Crossing,CA,48.5,-58.43,57.0,76,20,17.22,few clouds,0.0,0
111,Flinders,AU,-34.58,150.86,66.0,68,14,8.99,few clouds,0.0,0
112,Bastrop,US,32.76,-91.87,77.0,94,1,4.09,clear sky,0.0,0
113,Longyearbyen,SJ,78.22,15.64,42.8,73,20,16.11,few clouds,0.0,0
114,Atocha,BO,-20.93,-66.23,39.2,55,0,3.8,clear sky,0.0,0
115,Port Alfred,ZA,-33.59,26.89,68.0,35,19,14.0,few clouds,0.0,0
116,Espanola,US,35.99,-106.08,71.6,13,1,10.29,clear sky,0.0,0
117,Varniai,LT,55.74,22.36,68.0,82,23,4.85,few clouds,0.0,0
118,Berlevag,NO,70.86,29.09,43.88,81,100,15.52,overcast clouds,0.0,0
119,Puerto Ayora,EC,-0.74,-90.35,70.0,93,74,7.52,broken clouds,0.0,0
120,Asau,RO,46.43,26.4,64.4,100,91,5.21,overcast clouds,0.0,0
121,Cayenne,GF,4.93,-52.33,77.0,100,75,7.14,broken clouds,0.0,0
122,Kilindoni,TZ,-7.91,39.67,77.54,79,24,22.7,few clouds,0.0,0
123,Moose Factory,CA,51.26,-80.61,59.0,100,1,3.36,clear sky,0.0,0
124,Borogontsy,RU,62.67,131.17,80.8,37,45,3.53,scattered clouds,0.0,0
125,Nome,US,64.5,-165.41,72.0,59,40,10.29,scattered clouds,0.0,0
126,Inirida,CO,3.87,-67.92,73.78,95,58,2.28,moderate rain,1.1,0
127,Georgetown,MY,5.41,100.34,84.2,79,20,5.82,few clouds,0.0,0
128,Kavieng,PG,-2.57,150.8,85.68,68,26,7.34,scattered clouds,0.0,0
129,Caravelas,BR,-17.71,-39.25,71.62,88,9,5.73,clear sky,0.0,0
130,Port Blair,IN,11.67,92.75,85.66,77,100,13.4,overcast clouds,0.0,0
131,Ixtapa,MX,20.7,-105.2,80.01,86,17,1.59,few clouds,0.0,0
132,Saint-Philippe,RE,-21.36,55.77,69.8,64,66,10.29,broken clouds,0.0,0
133,Aketi,CD,2.74,23.78,69.69,83,98,1.57,overcast clouds,0.0,0
134,Quatre Cocos,MU,-20.21,57.76,70.0,88,75,12.75,shower rain,0.0,0
135,Maxixe,MZ,-23.86,35.35,62.76,88,10,6.17,clear sky,0.0,0
136,Ahipara,NZ,-35.17,173.17,56.98,85,98,11.83,light rain,0.39,0
137,Ribeira Grande,PT,38.52,-28.7,64.85,87,58,17.9,broken clouds,0.0,0
138,Chapais,CA,49.78,-74.85,69.8,73,90,8.05,overcast clouds,0.0,0
139,Faya,SA,18.39,42.45,69.8,42,89,5.44,overcast clouds,0.0,0
140,Saint George,US,37.1,-113.58,82.4,8,1,5.82,clear sky,0.0,0
141,Leczna,PL,51.3,22.88,62.6,100,90,4.7,fog,0.0,0
142,Mahanoro,MG,-19.9,48.8,69.03,86,100,7.92,light rain,0.24,0
143,Geraldton,AU,-28.77,114.6,66.2,42,0,18.34,clear sky,0.0,0
144,Kautokeino,NO,69.01,23.04,49.91,58,0,10.85,clear sky,0.0,0
145,Kloulklubed,PW,7.04,134.26,86.0,74,75,9.17,broken clouds,0.0,0
146,Whyalla,AU,-33.03,137.58,62.6,45,37,16.11,scattered clouds,0.0,0
147,Lincoln,US,40.8,-96.67,70.0,64,90,5.82,overcast clouds,0.0,0
148,Russell,US,32.35,-85.2,80.6,88,1,3.29,clear sky,0.0,0
149,Sawtell,AU,-30.38,153.1,68.0,56,90,9.17,overcast clouds,0.0,0
150,Dharchula,IN,29.85,80.53,79.48,53,1,4.94,clear sky,0.0,0
151,Dvinskoy,RU,62.15,45.12,45.68,60,77,9.13,broken clouds,0.0,0
152,Bridgwater,GB,51.13,-3.0,57.99,95,71,1.99,broken clouds,0.0,0
153,Kudahuvadhoo,MV,2.67,72.89,83.8,76,45,9.84,scattered clouds,0.0,0
154,El Alto,PE,-4.27,-81.21,64.81,86,0,17.58,clear sky,0.0,0
155,Garowe,SO,8.41,48.48,79.09,56,51,28.25,broken clouds,0.0,0
156,Lugoba,TZ,-6.45,38.33,65.44,93,26,3.6,scattered clouds,0.0,0
157,Tammisaari,FI,59.97,23.43,66.0,76,6,1.01,clear sky,0.0,0
158,East London,ZA,-33.02,27.91,66.97,31,1,10.89,clear sky,0.0,0
159,Half Moon Bay,US,37.46,-122.43,66.2,93,90,6.93,overcast clouds,0.0,0
160,Maraa,BR,-1.83,-65.37,72.86,98,91,2.21,light rain,0.43,0
161,Sterling,US,39.01,-77.43,68.0,88,75,3.36,broken clouds,0.0,0
162,Pevek,RU,69.7,170.31,45.27,65,21,10.6,few clouds,0.0,0
163,Bethel,US,41.37,-73.41,68.0,82,1,3.85,clear sky,0.0,0
164,Khunzakh,RU,42.54,46.7,61.88,55,5,1.39,clear sky,0.0,0
165,Katsuura,JP,35.13,140.3,82.99,61,75,14.99,broken clouds,0.0,0
166,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,90,10.29,light rain,0.0,0
167,Iqaluit,CA,63.75,-68.51,37.4,86,75,8.05,broken clouds,0.0,0
168,Halifax,CA,44.65,-63.57,70.0,54,0,9.86,clear sky,0.0,0
169,Felipe Carrillo Puerto,MX,19.58,-88.05,76.32,93,93,2.08,overcast clouds,0.0,0
170,Hobyo,SO,5.35,48.53,79.74,64,71,23.53,broken clouds,0.0,0
171,Aljubarrota,PT,39.57,-8.93,57.99,93,20,3.36,few clouds,0.0,0
172,Srednekolymsk,RU,67.45,153.68,89.17,20,86,12.84,overcast clouds,0.0,0
173,Coquimbo,CL,-29.95,-71.34,53.6,87,0,5.82,clear sky,0.0,0
174,San Cristobal,VE,7.77,-72.22,66.22,91,89,3.83,overcast clouds,0.0,0
175,Chadiza,ZM,-14.07,32.44,52.93,96,97,7.78,overcast clouds,0.0,0
176,Bilma,NE,18.69,12.92,84.69,16,54,7.45,broken clouds,0.0,0
177,Bay-Khaak,RU,51.17,94.5,69.42,38,99,4.83,overcast clouds,0.0,0
178,Severo-Yeniseyskiy,RU,60.37,93.04,50.79,94,100,3.11,light rain,0.51,0
179,Westport,US,41.14,-73.36,69.01,91,51,6.55,broken clouds,0.0,0
180,Portree,GB,57.41,-6.19,53.01,93,96,5.99,overcast clouds,0.0,0
181,Komsomolskiy,UZ,40.43,71.72,80.6,24,0,6.93,clear sky,0.0,0
182,Natal,BR,-5.79,-35.21,75.2,94,75,11.41,light rain,0.0,0
183,Pailitas,CO,8.96,-73.63,77.0,86,99,4.07,light rain,0.51,0
184,Touros,BR,-5.2,-35.46,73.4,100,75,6.93,light rain,0.0,0
185,Badou,TG,7.58,0.6,70.29,93,73,1.1,broken clouds,0.0,0
186,Pisco,PE,-13.7,-76.22,62.6,82,0,10.29,mist,0.0,0
187,Ouadda,CF,8.08,22.4,67.57,93,99,3.09,overcast clouds,0.0,0
188,Lethbridge,CA,49.7,-112.82,61.0,77,20,9.17,few clouds,0.0,0
189,Axim,GH,4.87,-2.24,76.51,84,50,5.08,scattered clouds,0.0,0
190,Ostrovnoy,RU,68.05,39.51,43.11,82,100,22.06,overcast clouds,0.0,0
191,Salalah,OM,17.02,54.09,82.4,78,75,3.36,broken clouds,0.0,0
192,Pemangkat,ID,1.17,108.97,86.45,64,49,1.3,scattered clouds,0.0,0
193,Porangatu,BR,-13.44,-49.15,67.62,61,78,2.77,broken clouds,0.0,0
194,Viedma,AR,-40.81,-63.0,50.32,48,10,14.09,clear sky,0.0,0
195,Cockburn Town,TC,21.46,-71.14,82.31,82,0,19.48,clear sky,0.0,0
196,Lagoa,PT,39.05,-27.98,64.56,89,40,23.31,scattered clouds,0.0,0
197,Mahebourg,MU,-20.41,57.7,69.8,88,75,12.75,shower rain,0.0,0
198,Ossora,RU,59.24,163.07,56.95,66,1,6.91,clear sky,0.0,0
199,Esperance,AU,-33.87,121.9,57.2,62,90,8.05,overcast clouds,0.0,0
200,Vanimo,PG,-2.67,141.3,85.17,68,49,4.52,light rain,0.47,0
201,Juba,SS,4.85,31.58,68.7,93,57,2.8,broken clouds,0.0,0
202,Nantucket,US,41.28,-70.1,64.0,93,90,8.05,fog,0.0,0
203,San Pedro,PH,14.35,121.02,90.0,74,75,6.93,broken clouds,0.0,0
204,Cavalcante,BR,-13.8,-47.46,64.0,67,5,3.87,clear sky,0.0,0
205,Dawei,MM,14.08,98.2,87.48,61,96,2.28,overcast clouds,0.0,0
206,Gisborne,NZ,-38.65,178.0,55.99,79,100,1.99,light rain,0.5,0
207,Tuy Hoa,VN,13.08,109.3,90.66,55,97,6.76,overcast clouds,0.0,0
208,Vardo,NO,70.37,31.11,44.38,76,100,14.23,overcast clouds,0.0,0
209,Turukhansk,RU,65.82,87.98,56.77,80,100,17.81,overcast clouds,0.0,0
210,Copiapo,CL,-27.37,-70.33,55.4,82,0,4.7,clear sky,0.0,0
211,Chokurdakh,RU,70.63,147.92,91.81,16,47,9.24,scattered clouds,0.0,0
212,Brae,GB,60.4,-1.35,55.4,93,99,3.36,overcast clouds,0.0,0
213,Luau,AO,-10.71,22.22,50.02,63,0,4.81,clear sky,0.0,0
214,Kaoma,ZM,-14.78,24.8,45.73,92,66,5.23,broken clouds,0.0,0
215,Cidreira,BR,-30.18,-50.21,65.91,94,94,4.65,moderate rain,1.52,0
216,Keti Bandar,PK,24.14,67.45,89.47,71,21,7.11,few clouds,0.0,0
217,Nanning,CN,22.82,108.32,87.8,70,40,8.95,scattered clouds,0.0,0
218,Progreso,MX,21.28,-89.67,82.0,88,75,10.13,broken clouds,0.0,0
219,Luderitz,NA,-26.65,15.16,60.8,38,0,4.7,clear sky,0.0,0
220,Padang,ID,-0.95,100.35,86.27,61,72,5.41,broken clouds,0.0,0
221,Kimberley,ZA,-28.73,24.76,35.6,66,0,7.63,clear sky,0.0,0
222,Vizinga,RU,61.07,50.1,46.33,61,98,10.0,overcast clouds,0.0,0
223,Namtsy,RU,62.72,129.67,80.6,32,25,4.47,scattered clouds,0.0,0
224,Zhanaozen,KZ,43.3,52.8,86.56,16,3,22.35,clear sky,0.0,0
225,Ust-Ishim,RU,57.69,71.17,55.09,45,50,7.05,scattered clouds,0.0,0
226,Nhulunbuy,AU,-12.23,136.77,81.18,67,30,17.65,light rain,0.11,0
227,Lagunas,PE,-5.23,-75.68,74.79,88,0,1.19,clear sky,0.0,0
228,Gwadar,PK,25.12,62.33,86.25,72,21,4.07,few clouds,0.0,0
229,Mar Del Plata,AR,-38.0,-57.56,55.99,66,1,6.93,clear sky,0.0,0
230,Desdunes,HT,19.3,-72.65,80.15,78,0,5.37,clear sky,0.0,0
231,Boyuibe,BO,-20.42,-63.28,63.45,89,0,3.83,clear sky,0.0,0
232,Kiunga,PG,-6.12,141.29,85.51,71,95,3.65,light rain,0.66,0
233,Faanui,PF,-16.48,-151.75,80.38,73,9,2.57,clear sky,0.0,0
234,Khatanga,RU,71.97,102.5,62.69,49,100,9.01,overcast clouds,0.0,0
235,Kahului,US,20.89,-156.47,84.2,51,40,18.34,scattered clouds,0.0,0
236,Biak,ID,-0.91,122.88,82.76,76,94,6.42,light rain,0.63,0
237,Piro,IN,25.33,84.42,91.63,52,67,5.82,broken clouds,0.0,0
238,Severo-Kurilsk,RU,50.68,156.12,42.37,90,100,18.25,overcast clouds,0.0,0
239,Fort Collins,US,40.59,-105.08,57.99,71,1,3.04,clear sky,0.0,0
240,Beringovskiy,RU,63.05,179.32,49.32,50,100,6.67,overcast clouds,0.0,0
241,Juarez,MX,31.73,-106.48,89.6,17,75,16.11,broken clouds,0.0,0
242,Chuy,UY,-33.7,-53.46,54.1,95,94,3.24,overcast clouds,0.0,0
243,Lavrentiya,RU,65.58,-171.0,55.27,41,0,15.3,clear sky,0.0,0
244,Hithadhoo,MV,-0.6,73.08,82.2,79,100,14.94,light rain,0.57,0
245,Bayir,TR,37.27,28.22,64.4,93,0,2.24,clear sky,0.0,0
246,Yar-Sale,RU,66.83,70.83,52.57,50,74,15.97,broken clouds,0.0,0
247,Alofi,NU,-19.06,-169.92,78.8,65,34,10.29,scattered clouds,0.0,0
248,Singaraja,ID,-8.11,115.09,85.35,61,100,2.26,overcast clouds,0.0,0
249,Karasjok,NO,69.47,25.51,48.2,57,0,11.41,clear sky,0.0,0
250,Kruisfontein,ZA,-34.0,24.73,59.2,35,50,12.57,scattered clouds,0.0,0
251,Vao,NC,-22.67,167.48,68.76,80,37,20.51,scattered clouds,0.0,0
252,Camana,PE,-16.62,-72.71,61.66,78,85,7.78,overcast clouds,0.0,0
253,Shahreza,IR,32.03,51.88,81.95,15,0,6.85,clear sky,0.0,0
254,Chumikan,RU,54.72,135.31,44.31,85,99,11.63,overcast clouds,0.0,0
255,Tagusao,PH,9.19,117.81,87.3,62,83,3.74,broken clouds,0.0,0
256,Nichinan,JP,31.6,131.37,73.4,69,75,5.82,broken clouds,0.0,0
257,San Patricio,MX,19.22,-104.7,78.42,70,1,1.19,clear sky,0.0,0
258,Sao Filipe,CV,14.9,-24.5,75.49,81,0,11.79,clear sky,0.0,0
259,Camacupa,AO,-12.02,17.48,44.83,73,0,4.03,clear sky,0.0,0
260,Beipiao,CN,41.79,120.78,93.92,22,0,18.57,clear sky,0.0,0
261,Bestobe,KZ,52.5,73.1,53.83,45,0,9.86,clear sky,0.0,0
262,Buin,CL,-33.73,-70.75,48.2,100,75,2.24,mist,0.0,0
263,Zhigansk,RU,66.77,123.37,77.72,31,25,11.34,scattered clouds,0.0,0
264,Praxedis Guerrero,MX,31.37,-106.02,89.6,17,75,16.11,broken clouds,0.0,0
265,Neiafu,TO,-18.65,-173.98,78.8,65,75,11.41,broken clouds,0.0,0
266,Shelburne,CA,44.08,-80.2,66.0,82,1,2.24,clear sky,0.0,0
267,Beira,MZ,-19.84,34.84,64.4,82,20,11.41,few clouds,0.0,0
268,Namibe,AO,-15.2,12.15,70.0,54,0,5.01,clear sky,0.0,0
269,Guerrero Negro,MX,27.98,-114.06,63.57,82,0,16.69,clear sky,0.0,0
